kmer_id	target_family	group	hap_count	median_target_hits	mean_target_hits	q25_target_hits	q75_target_hits	median_target_density_per_M	measurable_haps
k16_66fbf53d	HSat3	G4	39	61.0	51.35897435897436	7.5	76.0	3.5020799515387857	39
k16_66fbf53d	HSat3	G5	47	113.0	112.76595744680851	79.5	147.5	6.649416035496424	47
k16_66fbf53d	HSat3	G6	47	55.0	50.48936170212766	44.5	62.5	3.3598427209624564	47
k16_66fbf53d	HSat3	G7	126	59.0	54.63492063492063	39.5	76.25	3.515812968017557	126
k16_66fbf53d	HSat3	NA	131	62.0	62.02290076335878	17.0	85.0	3.898880907066084	131
k16_6834d350	HSat2	G1	158	171.0	192.22151898734177	142.25	218.25	11.360052241033014	158
k16_6834d350	HSat2	G2	42	72.5	127.23809523809524	41.25	218.5	6.448188779542091	42
k16_6834d350	HSat2	G3	289	469.0	537.8892733564014	415.0	559.0	29.484357323218752	289
k16_6834d350	HSat2	NA	84	291.5	303.4047619047619	128.0	430.25	19.258139747391226	84
k16_69f8f53d	HSat3	G1	59	260.0	250.38983050847457	188.0	313.5	15.462657452932097	59
k16_69f8f53d	HSat3	G2	54	149.5	140.53703703703704	129.0	173.5	9.105632905838304	54
k16_69f8f53d	HSat3	G3	70	157.0	138.52857142857144	114.75	172.25	9.059535218885966	70
k16_69f8f53d	HSat3	G4	39	147.0	131.46153846153845	41.0	183.0	8.723199173738573	39
k16_69f8f53d	HSat3	G5	47	231.0	219.7872340425532	157.5	289.0	13.519291183563245	47
k16_69f8f53d	HSat3	G6	47	138.0	125.38297872340425	107.5	160.5	8.645442275399038	47
k16_69f8f53d	HSat3	G7	126	147.0	132.4920634920635	105.25	169.0	8.505445213615296	126
k16_69f8f53d	HSat3	NA	131	141.0	133.68702290076337	67.0	171.0	8.708336054688349	131
k16_6c53d4f5	HSat3	G1	59	6147.0	5215.322033898305	4574.5	6987.0	326.6547318765689	59
k16_6c53d4f5	HSat3	G2	54	5589.5	5275.12962962963	4350.5	6793.0	340.3031008062676	54
k16_6c53d4f5	HSat3	G3	70	5885.5	5177.542857142857	4216.25	6907.0	336.638429234191	70
k16_6c53d4f5	HSat3	G4	39	5778.0	4565.948717948718	620.0	6984.5	335.81306638828056	39
k16_6c53d4f5	HSat3	G5	47	6383.0	5746.382978723404	5333.0	7083.0	334.4422561011349	47
k16_6c53d4f5	HSat3	G6	47	5400.0	5025.212765957447	4836.0	6175.5	344.6833133936093	47
k16_6c53d4f5	HSat3	G7	126	5639.5	5140.253968253968	3709.75	6887.0	336.0574517912415	126
k16_6c53d4f5	HSat3	NA	131	5547.0	4752.114503816794	566.5	6924.0	345.11426290527635	131
k16_6f12d4f5	HSat3	G1	59	26.0	27.11864406779661	24.0	30.5	1.538977141335754	59
k16_6f12d4f5	HSat3	G2	54	23.0	24.5	21.0	28.0	1.529858528555979	54
k16_6f12d4f5	HSat3	G3	70	24.0	24.47142857142857	21.0	27.0	1.3252336118565187	70
k16_6f12d4f5	HSat3	G4	39	24.0	25.923076923076923	22.0	28.0	1.6844798404460695	39
k16_6f12d4f5	HSat3	G5	47	26.0	25.5531914893617	23.5	29.0	1.4518157392796112	47
k16_6f12d4f5	HSat3	G6	47	24.0	25.23404255319149	21.0	29.0	1.483570802067828	47
k16_6f12d4f5	HSat3	G7	126	24.0	24.428571428571427	21.0	28.0	1.4860496002699106	126
k16_6f12d4f5	HSat3	NA	131	24.0	23.290076335877863	21.0	27.0	1.5347973253420661	131
k16_75ee83a0	HSat3	G1	59	33.0	35.644067796610166	25.0	42.5	2.308465712003631	59
k16_75ee83a0	HSat3	G2	54	44.0	42.24074074074074	32.0	53.75	2.883205398212369	54
k16_75ee83a0	HSat3	G3	70	44.5	44.114285714285714	31.0	55.75	2.878106677483253	70
k16_75ee83a0	HSat3	G4	39	28.0	36.61538461538461	18.5	48.0	1.6515209416689292	39
k16_75ee83a0	HSat3	G5	47	18.0	16.659574468085108	17.0	20.0	0.9554584385133831	47
k16_75ee83a0	HSat3	G6	47	18.0	15.74468085106383	16.5	19.0	1.049715811543305	47
k16_75ee83a0	HSat3	G7	126	18.0	16.3015873015873	17.0	20.0	1.0146956950983372	126
